Line Name,Station Name,Evening_Train,train_number,train_actual_time,WorkDay,train_hour_24,train_late_by_min
NJ TRANSIT - NEC,Trenton,FALSE,3930,811,workday,8,60+
NJ TRANSIT - MOBO,Hoboken,TRUE,275,1755,workday,17,60+
NJ TRANSIT - MOBO,MSU,TRUE,250,1633,workday,16,60+
NJ TRANSIT - NEC,PSNY,TRUE,3165,1650,workday,16,60+
NJ TRANSIT - NEC,Trenton,TRUE,3954,1459,workday,14,60+
NJ TRANSIT - PVL,Spring Valley,TRUE,1628,1338,workday,13,60+
NJ TRANSIT - NEC,Trenton,FALSE,7818,818,holiday,8,60+
NJ TRANSIT - ME,PSNY,TRUE,6355,1818,workday,18,60+
NJ TRANSIT - ME,Summit,FALSE,312,732,workday,7,60+
NJ TRANSIT - MBPJ,Port Jervis,FALSE,44,435,workday,4,60+
NJ TRANSIT - ME,Gladstone,FALSE,408,614,workday,6,60+
NJ TRANSIT - ME,PSNY,TRUE,6355,1818,workday,18,60+
NJ TRANSIT - NEC,PSNY,TRUE,3949,1703,workday,17,60+
NJ TRANSIT - RVL,High Bridge,TRUE,5742,1500,workday,15,60+
NJ TRANSIT - NEC,New Brunswick,TRUE,3154,1503,workday,15,60+
NJ TRANSIT - MBPJ,Port Jervis,FALSE,48,534,workday,5,60+
NJ TRANSIT - ME,Dover,TRUE,6668,1827,workday,18,60+
NJ TRANSIT - NEC,Trenton,FALSE,3930,811,workday,8,60+
NJ TRANSIT - ME,Mount Olive,FALSE,852,607,workday,6,60+
NJ TRANSIT - ME,Morristown,FALSE,608,604,workday,6,60+
NJ TRANSIT - ME,Hoboken,FALSE,301,445,workday,4,60+
NJ TRANSIT - NEC,PSNY,TRUE,3861,1630,workday,16,60+
NJ TRANSIT - PVL,Hoboken,TRUE,1623,1557,workday,15,60+
NJ TRANSIT - ME,Dover,FALSE,6636,1049,workday,10,60+
NJ TRANSIT - MBPJ,Hoboken,FALSE,1309,1029,workday,10,60+
NJ TRANSIT - PVL,Hoboken,TRUE,1611,2315,workday,23,60+
NJ TRANSIT - PVL,Anderson Street,FALSE,1650,852,workday,8,60+
NJ TRANSIT - MBPJ,Waldwick,FALSE,1258,818,workday,8,60+
NJ TRANSIT - RVL,Plainfield,FALSE,5902,832,workday,8,60+
NJ TRANSIT - ME,PSNY,FALSE,6611,749,workday,7,60+
NJ TRANSIT - ME,Gladstone,FALSE,418,956,workday,9,60+
NJ TRANSIT - PVL,Spring Valley,FALSE,1620,803,workday,8,60+
NJ TRANSIT - ME,Morristown,FALSE,608,604,workday,6,60+
NJ TRANSIT - MBPJ,Port Jervis ,FALSE,50,552,workday,5,60+
NJ TRANSIT - NEC,Trenton,FALSE,3704,602,workday,6,60+
NJ TRANSIT - ME,Gladstone,FALSE,404,541,workday,5,60+
NJ TRANSIT - MBPJ,Hoboken,TRUE,1153,2339,workday,23,60+
NJ TRANSIT - ME,Summit,FALSE,408,701,workday,7,60+
NJ TRANSIT - NEC,PSNY,FALSE,3705,631,workday,6,60+
NJ TRANSIT - MBPJ,Waldwick,FALSE,1254,740,workday,7,60+
NJ TRANSIT - NEC,PSNY,FALSE,3813,507,workday,5,60+
NJ TRANSIT - NJCL,Secaucus,TRUE,3373,1812,workday,18,< 20
NJ TRANSIT - ME,Morristown,TRUE,660,1638,workday,16,< 20
NJ TRANSIT - NEC,Edison,TRUE,3849,1500,workday,15,< 20
NJ TRANSIT - NJCL,Linden,TRUE,3243,1318,workday,13,< 20
NJ TRANSIT - NEC,Rahway,TRUE,3843,1316,workday,13,< 20
